"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"1","Greenlights",NA,"Matthew McConaughey","Matthew McConaughey","6 hrs and 42 mins","10-20-20","English","5 out of 5 stars","7,258 ratings","$28.00","https://www.audible.com/pd/Greenlights-Audiobook/0593294181?ref=a_adblbests_c3_lProduct_1_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"2","The Ice Diaries","The Untold Story of the Cold War's Most Daring Mission","Captain William R. Anderson, Don Keith - contributor","Roger Mueller","10 hrs and 1 min","10-15-19","English","5 out of 5 stars","7 ratings","$30.79","https://www.audible.com/pd/The-Ice-Diaries-Audiobook/1401605508?ref=a_adblbests_c3_lProduct_1_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"3","Tiny Habits","The Small Changes That Change Everything","BJ Fogg PhD","BJ Fogg PhD","11 hrs and 22 mins","01-14-20","English","4.5 out of 5 stars","742 ratings","$34.95","https://www.audible.com/pd/Tiny-Habits-Audiobook/B082VKHVCL?ref=a_adblbests_c3_lProduct_1_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"4","A Time for Mercy","A Jack Brigance Novel","John Grisham","Michael Beck","19 hrs and 59 mins","10-13-20","English","5 out of 5 stars","3,558 ratings","$31.50","https://www.audible.com/pd/A-Time-for-Mercy-Audiobook/0593168550?ref=a_adblbests_c3_lProduct_1_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"5","The Sentinel","A Jack Reacher Novel","Lee Child, Andrew Child","Scott Brick","10 hrs and 39 mins","10-27-20","English","4.5 out of 5 stars","1,433 ratings","$31.50","https://www.audible.com/pd/The-Sentinel-Audiobook/059333972X?ref=a_adblbests_c3_lProduct_1_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"6","Clanlands","Whisky, Warfare, and a Scottish Adventure Like No Other","Sam Heughan, Graham McTavish, Diana Gabaldon - foreword","Graham McTavish, Sam Heughan, Diana Gabaldon - foreword","10 hrs and 22 mins","11-03-20","English","5 out of 5 stars","167 ratings","$21.81","https://www.audible.com/pd/Clanlands-Audiobook/1529342015?ref=a_adblbests_c3_lProduct_1_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"7","Ready Player Two","A Novel","Ernest Cline","Wil Wheaton","16 hrs","11-24-20","English",NA,"Not rated yet","$35.00","https://www.audible.com/pd/Ready-Player-Two-Audiobook/0593396960?ref=a_adblbests_c3_lProduct_1_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"8","A Promised Land",NA,"Barack Obama","Barack Obama","29 hrs and 10 mins","11-17-20","English",NA,"Not rated yet","$45.50","https://www.audible.com/pd/A-Promised-Land-Audiobook/0525633723?ref=a_adblbests_c3_lProduct_1_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"9","The Best of Me",NA,"David Sedaris","David Sedaris","13 hrs and 8 mins","11-03-20","English","4 out of 5 stars","15 ratings","$30.79","https://www.audible.com/pd/The-Best-of-Me-Audiobook/1549160761?ref=a_adblbests_c3_lProduct_1_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"10","Atomic Habits","An Easy & Proven Way to Build Good Habits & Break Bad Ones","James Clear","James Clear","5 hrs and 35 mins","10-16-18","English","5 out of 5 stars","47,058 ratings","$28.00","https://www.audible.com/pd/Atomic-Habits-Audiobook/1524779261?ref=a_adblbests_c3_lProduct_1_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"11","Rhythm of War",NA,"Brandon Sanderson","Kate Reading, Michael Kramer","57 hrs and 26 mins","11-17-20","English",NA,"Not rated yet","$66.49","https://www.audible.com/pd/Rhythm-of-War-Audiobook/1250759781?ref=a_adblbests_c3_lProduct_1_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"12","Fortune and Glory","A Novel","Janet Evanovich","Lorelei King","7 hrs and 13 mins","11-03-20","English","4.5 out of 5 stars","199 ratings","$20.99","https://www.audible.com/pd/Fortune-and-Glory-Audiobook/1797113089?ref=a_adblbests_c3_lProduct_1_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"13","Our Time Is Now","Power, Purpose, and the Fight for a Fair America","Stacey Abrams","Stacey Abrams","9 hrs and 20 mins","06-09-20","English","5 out of 5 stars","299 ratings","$31.49","https://www.audible.com/pd/Our-Time-Is-Now-Audiobook/1250772303?ref=a_adblbests_c3_lProduct_1_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"14","Can't Hurt Me","Master Your Mind and Defy the Odds","David Goggins","David Goggins, Adam Skolnick","13 hrs and 37 mins","11-28-18","English","5 out of 5 stars","114,487 ratings","$24.95","https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH?ref=a_adblbests_c3_lProduct_1_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"15","Harry Potter and the Sorcerer's Stone, Book 1",NA,"J.K. Rowling","Jim Dale","8 hrs and 18 mins","11-20-15","English","5 out of 5 stars","123,722 ratings","$29.99","https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Book-1-Audiobook/B017V4IM1G?ref=a_adblbests_c3_lProduct_1_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"16","The Guest List","A Novel","Lucy Foley","Jot Davies, Chloe Massey, Olivia Dowd, Aoife McMahon, Sarah Ovens, Rich Keeble","10 hrs and 22 mins","06-02-20","English","4.5 out of 5 stars","11,413 ratings","$30.79","https://www.audible.com/pd/The-Guest-List-Audiobook/0062985051?ref=a_adblbests_c3_lProduct_1_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"17","Think Like a Monk","Train Your Mind for Peace and Purpose Every Day","Jay Shetty","Jay Shetty","10 hrs and 54 mins","09-08-20","English","5 out of 5 stars","1,667 ratings","$24.49","https://www.audible.com/pd/Think-Like-a-Monk-Audiobook/1797100548?ref=a_adblbests_c3_lProduct_1_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"18","Caste (Oprah's Book Club)","The Origins of Our Discontents","Isabel Wilkerson","Robin Miles","14 hrs and 26 mins","08-04-20","English","5 out of 5 stars","4,079 ratings","$31.50","https://www.audible.com/pd/Caste-Oprahs-Book-Club-Audiobook/0593339800?ref=a_adblbests_c3_lProduct_1_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"19","Untamed",NA,"Glennon Doyle","Glennon Doyle","8 hrs and 22 mins","03-10-20","English","4.5 out of 5 stars","17,054 ratings","$31.50","https://www.audible.com/pd/Untamed-Audiobook/0593156072?ref=a_adblbests_c3_lProduct_1_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"20","Where the Crawdads Sing",NA,"Delia Owens","Cassandra Campbell","12 hrs and 12 mins","08-14-18","English","5 out of 5 stars","176,243 ratings","$31.50","https://www.audible.com/pd/Where-the-Crawdads-Sing-Audiobook/B07FSNSLZ1?ref=a_adblbests_c3_lProduct_1_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"21","Harry Potter and the Chamber of Secrets, Book 2",NA,"J.K. Rowling","Jim Dale","9 hrs and 3 mins","11-20-15","English","5 out of 5 stars","86,953 ratings","$29.99","https://www.audible.com/pd/Harry-Potter-and-the-Chamber-of-Secrets-Book-2-Audiobook/B017V4IWVG?ref=a_adblbests_c3_lProduct_2_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"22","Heaven's River","Bobiverse, Book 4","Dennis E. Taylor","Ray Porter","16 hrs and 57 mins","09-24-20","English","5 out of 5 stars","12,745 ratings","$39.95","https://www.audible.com/pd/Heavens-River-Audiobook/B088C4DBYP?ref=a_adblbests_c3_lProduct_2_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"23","Lead from the Outside","How to Build Your Future and Make Real Change","Stacey Abrams","Stacey Abrams","7 hrs and 15 mins","04-24-18","English","4.5 out of 5 stars","777 ratings","$20.99","https://www.audible.com/pd/Lead-from-the-Outside-Audiobook/B077BVXQ4D?ref=a_adblbests_c3_lProduct_2_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"24","Harry Potter and the Deathly Hallows, Book 7",NA,"J.K. Rowling","Jim Dale","21 hrs and 37 mins","11-20-15","English","5 out of 5 stars","103,362 ratings","$44.99","https://www.audible.com/pd/Harry-Potter-and-the-Deathly-Hallows-Book-7-Audiobook/B017WJ5ZK6?ref=a_adblbests_c3_lProduct_2_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"25","Harry Potter and the Goblet of Fire, Book 4",NA,"J.K. Rowling","Jim Dale","20 hrs and 37 mins","11-20-15","English","5 out of 5 stars","73,858 ratings","$44.99","https://www.audible.com/pd/Harry-Potter-and-the-Goblet-of-Fire-Book-4-Audiobook/B017V4NUPO?ref=a_adblbests_c3_lProduct_2_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"26","Becoming",NA,"Michelle Obama","Michelle Obama","19 hrs and 3 mins","11-13-18","English","5 out of 5 stars","156,060 ratings","$35.71","https://www.audible.com/pd/Becoming-Audiobook/B07B3BCZ9S?ref=a_adblbests_c3_lProduct_2_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"27","Harry Potter and the Prisoner of Azkaban, Book 3",NA,"J.K. Rowling","Jim Dale","11 hrs and 49 mins","11-20-15","English","5 out of 5 stars","76,806 ratings","$29.99","https://www.audible.com/pd/Harry-Potter-and-the-Prisoner-of-Azkaban-Book-3-Audiobook/B017V4JA2Q?ref=a_adblbests_c3_lProduct_2_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"28","Wicca Book of Spells","A Book of Shadows for Wiccans, Witches, and Other Practitioners of Magic","Lisa Chamberlain","Kris Keppeler","1 hr and 59 mins","07-22-16","English","4.5 out of 5 stars","79 ratings","$6.95","https://www.audible.com/pd/Wicca-Book-of-Spells-Audiobook/B01IU63YO4?ref=a_adblbests_c3_lProduct_2_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"29","Harry Potter and the Half-Blood Prince, Book 6",NA,"J.K. Rowling","Jim Dale","18 hrs and 32 mins","11-20-15","English","5 out of 5 stars","63,647 ratings","$44.99","https://www.audible.com/pd/Harry-Potter-and-the-Half-Blood-Prince-Book-6-Audiobook/B017V4NOZ0?ref=a_adblbests_c3_lProduct_2_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"30","Harry Potter and the Order of the Phoenix, Book 5",NA,"J.K. Rowling","Jim Dale","26 hrs and 29 mins","11-20-15","English","5 out of 5 stars","68,228 ratings","$44.99","https://www.audible.com/pd/Harry-Potter-and-the-Order-of-the-Phoenix-Book-5-Audiobook/B017V4NMX4?ref=a_adblbests_c3_lProduct_2_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"31","The Subtle Art of Not Giving a F*ck","A Counterintuitive Approach to Living a Good Life","Mark Manson","Roger Wayne","5 hrs and 17 mins","09-13-16","English","4.5 out of 5 stars","136,194 ratings","$23.95","https://www.audible.com/pd/The-Subtle-Art-of-Not-Giving-a-F-ck-Audiobook/B01I28NFEE?ref=a_adblbests_c3_lProduct_2_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"32","Dune",NA,"Frank Herbert","Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin","21 hrs and 2 mins","12-31-06","English","4.5 out of 5 stars","64,676 ratings","$47.93","https://www.audible.com/pd/Dune-Audiobook/B002V1OF70?ref=a_adblbests_c3_lProduct_2_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"33","Midnight Sun",NA,"Stephenie Meyer","Jake Abel","25 hrs and 49 mins","08-04-20","English","4.5 out of 5 stars","11,843 ratings","$34.21","https://www.audible.com/pd/Midnight-Sun-Audiobook/1549134663?ref=a_adblbests_c3_lProduct_2_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"34","Anxious People","A Novel","Fredrik Backman","Marin Ireland","9 hrs and 53 mins","09-08-20","English","4.5 out of 5 stars","3,164 ratings","$20.99","https://www.audible.com/pd/Anxious-People-Audiobook/1797105833?ref=a_adblbests_c3_lProduct_2_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"35","The Invisible Life of Addie LaRue",NA,"V. E. Schwab","Julia Whelan","17 hrs and 10 mins","10-06-20","English","4.5 out of 5 stars","1,547 ratings","$46.89","https://www.audible.com/pd/The-Invisible-Life-of-Addie-LaRue-Audiobook/125077795X?ref=a_adblbests_c3_lProduct_2_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"36","The Return",NA,"Nicholas Sparks","Kyf Brewer","9 hrs and 56 mins","09-29-20","English","4.5 out of 5 stars","2,383 ratings","$30.79","https://www.audible.com/pd/The-Return-Audiobook/1478992670?ref=a_adblbests_c3_lProduct_2_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"37","Blackout","How Black America Can Make Its Second Escape from the Democrat Plantation","Candace Owens, Larry Elder","Candace Owens, Larry Elder","6 hrs and 51 mins","09-15-20","English","5 out of 5 stars","4,142 ratings","$20.99","https://www.audible.com/pd/Blackout-Audiobook/1797102923?ref=a_adblbests_c3_lProduct_2_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"38","12 Rules for Life","An Antidote to Chaos","Jordan B. Peterson, Norman Doidge MD - foreword","Jordan B. Peterson","15 hrs and 40 mins","01-23-18","English","4.5 out of 5 stars","62,153 ratings","$36.33","https://www.audible.com/pd/12-Rules-for-Life-Audiobook/B0797YBP7N?ref=a_adblbests_c3_lProduct_2_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"39","How to Destroy America in Three Easy Steps",NA,"Ben Shapiro","Ben Shapiro","6 hrs and 19 mins","07-21-20","English","5 out of 5 stars","2,779 ratings","$23.95","https://www.audible.com/pd/How-to-Destroy-America-in-Three-Easy-Steps-Audiobook/006300190X?ref=a_adblbests_c3_lProduct_2_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"40","Brushfire","Expeditionary Force, Book 11","Craig Alanson","R.C. Bray","20 hrs and 42 mins","12-01-20","English",NA,"Not rated yet","$49.99","https://www.audible.com/pd/Brushfire-Audiobook/1774246325?ref=a_adblbests_c3_lProduct_2_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=9FGBH0TVGY416AKKACYA"
"41","Of Sea and Shadow","The Elder Empire: Sea, Book 1","Will Wight","Travis Baldree","11 hrs and 36 mins","02-11-20","English","4.5 out of 5 stars","361 ratings","$24.95","https://www.audible.com/pd/Of-Sea-and-Shadow-Audiobook/B081ZFV1G3?ref=a_adblbests_c3_lProduct_3_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=41BPD1Q4CM65B52A8VD6"
"42","Pretty Things","A Novel","Janelle Brown","Julia Whelan, Lauren Fortgang, Hillary Huber","16 hrs and 6 mins","04-21-20","English","4.5 out of 5 stars","8,637 ratings","$31.50","https://www.audible.com/pd/Pretty-Things-Audiobook/059321000X?ref=a_adblbests_c3_lProduct_3_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=41BPD1Q4CM65B52A8VD6"
"43","The Searcher","A Novel","Tana French","Roger Clark","14 hrs and 32 mins","10-06-20","English","4.5 out of 5 stars","2,039 ratings","$31.50","https://www.audible.com/pd/The-Searcher-Audiobook/1984838032?ref=a_adblbests_c3_lProduct_3_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=41BPD1Q4CM65B52A8VD6"
"44","Born a Crime","Stories from a South African Childhood","Trevor Noah","Trevor Noah","8 hrs and 44 mins","11-15-16","English","5 out of 5 stars","171,018 ratings","$24.95","https://www.audible.com/pd/Born-a-Crime-Audiobook/B01IW9TQPK?ref=a_adblbests_c3_lProduct_3_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=41BPD1Q4CM65B52A8VD6"
"45","American Dirt (Oprah's Book Club)","A Novel","Jeanine Cummins","Yareli Arizmendi","16 hrs and 43 mins","01-21-20","English","4.5 out of 5 stars","17,029 ratings","$27.99","https://www.audible.com/pd/American-Dirt-Oprahs-Book-Club-Audiobook/1250260604?ref=a_adblbests_c3_lProduct_3_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=41BPD1Q4CM65B52A8VD6"
"46","The Vanishing Half","A Novel","Brit Bennett","Shayna Small","11 hrs and 34 mins","06-02-20","English","4.5 out of 5 stars","6,952 ratings","$31.50","https://www.audible.com/pd/The-Vanishing-Half-Audiobook/0525637141?ref=a_adblbests_c3_lProduct_3_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=41BPD1Q4CM65B52A8VD6"
"47","The Evening and the Morning","Kingsbridge, Book 4","Ken Follett","John Lee","24 hrs and 19 mins","09-15-20","English","4.5 out of 5 stars","3,209 ratings","$49.00","https://www.audible.com/pd/The-Evening-and-the-Morning-Audiobook/0593289641?ref=a_adblbests_c3_lProduct_3_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=41BPD1Q4CM65B52A8VD6"
"48","How to Win Friends & Influence People",NA,"Dale Carnegie","Andrew MacMillan","7 hrs and 15 mins","09-16-04","English","4.5 out of 5 stars","78,270 ratings","$31.93","https://www.audible.com/pd/How-to-Win-Friends-Influence-People-Audiobook/B002V5BV96?ref=a_adblbests_c3_lProduct_3_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=41BPD1Q4CM65B52A8VD6"
"49","Extreme Ownership","How U.S. Navy SEALs Lead and Win","Jocko Willink, Leif Babin","Jocko Willink, Leif Babin","9 hrs and 33 mins","10-19-15","English","5 out of 5 stars","57,482 ratings","$27.99","https://www.audible.com/pd/Extreme-Ownership-Audiobook/B015TVHUA2?ref=a_adblbests_c3_lProduct_3_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=41BPD1Q4CM65B52A8VD6"
